Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),mv,scale,scale_manual
30,3001,01:40.0,100,3038,01:41.3,101.267,38,00:01.3,1.267,Static,Full Shot,Extreme Close Shot
31,3040,01:41.3,101.3,3118,01:43.9,103.933,79,00:02.6,2.633,Static,Long Shot,Close Shot
32,3120,01:44.0,103.967,3236,01:47.9,107.867,117,00:03.9,3.9,Static,Medium Shot,Close Shot
33,3238,01:47.9,107.9,3357,01:51.9,111.9,120,00:04.0,4,Static,Extreme Close Shot,Medium Shot
34,3359,01:51.9,111.933,3438,01:54.6,114.6,80,00:02.7,2.667,Static,Extreme Close Shot,Extreme Close Shot
35,3440,01:54.6,114.633,3512,01:57.1,117.067,73,00:02.4,2.433,Static,Extreme Close Shot,Medium Shot
36,3514,01:57.1,117.1,3686,02:02.9,122.867,173,00:05.8,5.767,Static,Extreme Close Shot,Close Shot
37,3688,02:02.9,122.9,3752,02:05.1,125.067,65,00:02.2,2.167,Static,Extreme Close Shot,Medium Shot
38,3754,02:05.1,125.1,3899,02:10.0,129.967,146,00:04.9,4.867,Static,Extreme Close Shot,Medium Shot
39,3901,02:10.0,130,3929,02:11.0,130.967,29,00:01.0,0.967,Static,Extreme Close Shot,Medium Shot
40,3931,02:11.0,131,4089,02:16.3,136.3,159,00:05.3,5.3,Static,Extreme Close Shot,Close Shot
41,4091,02:16.3,136.333,4133,02:17.8,137.767,43,00:01.4,1.433,Static,Extreme Close Shot,Close Shot
42,4135,02:17.8,137.8,4220,02:20.7,140.667,86,00:02.9,2.867,Static,Extreme Close Shot,Medium Shot
43,4222,02:20.7,140.7,4425,02:27.5,147.5,204,00:06.8,6.8,Static,Extreme Close Shot,Close Shot
44,4427,02:27.5,147.533,4473,02:29.1,149.1,47,00:01.6,1.567,Static,Extreme Close Shot,Extreme Close Shot
45,4475,02:29.1,149.133,4595,02:33.2,153.167,121,00:04.0,4.033,Static,Extreme Close Shot,Medium Shot
46,4597,02:33.2,153.2,4805,02:40.2,160.167,209,00:07.0,6.967,Static,Extreme Close Shot,Close Shot
47,4807,02:40.2,160.2,4883,02:42.8,162.767,77,00:02.6,2.567,Static,Extreme Close Shot,Medium Shot
48,4885,02:42.8,162.8,4995,02:46.5,166.5,111,00:03.7,3.7,Static,Extreme Close Shot,Close Shot
49,4997,02:46.5,166.533,5088,02:49.6,169.6,92,00:03.1,3.067,Static,Close Shot,Medium Shot
50,5090,02:49.6,169.633,5185,02:52.8,172.833,96,00:03.2,3.2,Static,Full Shot,Close Shot
51,5187,02:52.9,172.867,5270,02:55.7,175.667,84,00:02.8,2.8,Static,Extreme Close Shot,Close Shot
52,5272,02:55.7,175.7,5362,02:58.7,178.733,91,00:03.0,3.033,Static,Full Shot,Close Shot
53,5364,02:58.8,178.767,5424,03:00.8,180.8,61,00:02.0,2.033,Static,Extreme Close Shot,Close Shot
54,5426,03:00.8,180.833,5504,03:03.5,183.467,79,00:02.6,2.633,Static,Extreme Close Shot,Extreme Close Shot
55,5506,03:03.5,183.5,5690,03:09.7,189.667,185,00:06.2,6.167,Static,Extreme Close Shot,Close Shot
56,5692,03:09.7,189.7,5843,03:14.8,194.767,152,00:05.1,5.067,Static,Full Shot,Extreme Close Shot
57,5845,03:14.8,194.8,6100,03:23.3,203.333,256,00:08.5,8.533,Static,Extreme Close Shot,Close Shot
58,6102,03:23.4,203.367,6149,03:25.0,204.967,48,00:01.6,1.6,Static,Long Shot,-1
