Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),mv,scale,scale_manual
31,4195,02:19.8,139.8,4265,02:22.2,142.167,71,00:02.4,2.367,Static,Extreme Close Shot,Medium Shot
32,4267,02:22.2,142.2,4448,02:28.3,148.267,182,00:06.1,6.067,Static,Extreme Close Shot,Close Shot
33,4450,02:28.3,148.3,4572,02:32.4,152.4,123,00:04.1,4.1,Static,Extreme Close Shot,Extreme Close Shot
34,4574,02:32.4,152.433,4642,02:34.7,154.733,69,00:02.3,2.3,Static,Close Shot,Medium Shot
35,4644,02:34.8,154.767,4798,02:39.9,159.933,155,00:05.2,5.167,Static,Extreme Close Shot,Close Shot
36,4800,02:40.0,159.967,4926,02:44.2,164.2,127,00:04.2,4.233,Static,Close Shot,Medium Shot
37,4928,02:44.2,164.233,5208,02:53.6,173.6,281,00:09.4,9.367,Static,Extreme Close Shot,Extreme Close Shot
38,5210,02:53.6,173.633,5509,03:03.6,183.633,300,00:10.0,10,Static,Extreme Close Shot,Close Shot
39,5511,03:03.7,183.667,5629,03:07.6,187.633,119,00:04.0,3.967,Static,Extreme Close Shot,Close Shot
40,5631,03:07.7,187.667,5795,03:13.2,193.167,165,00:05.5,5.5,Static,Close Shot,Medium Shot
41,5797,03:13.2,193.2,5888,03:16.3,196.267,92,00:03.1,3.067,Static,Extreme Close Shot,Close Shot
42,5890,03:16.3,196.3,6016,03:20.5,200.533,127,00:04.2,4.233,Static,Full Shot,Extreme Close Shot
43,6018,03:20.6,200.567,6157,03:25.2,205.233,140,00:04.7,4.667,Static,Extreme Close Shot,Close Shot
44,6159,03:25.3,205.267,6417,03:33.9,213.9,259,00:08.6,8.633,Static,Extreme Close Shot,Extreme Close Shot
45,6419,03:33.9,213.933,6539,03:38.0,217.967,121,00:04.0,4.033,Static,Extreme Close Shot,Close Shot
46,6541,03:38.0,218,6842,03:48.1,228.067,302,00:10.1,10.067,Static,Full Shot,Extreme Close Shot
47,6844,03:48.1,228.1,6957,03:51.9,231.9,114,00:03.8,3.8,Static,Extreme Close Shot,Close Shot
48,6959,03:51.9,231.933,7188,03:59.6,239.6,230,00:07.7,7.667,Static,Full Shot,Extreme Close Shot
49,7190,03:59.6,239.633,7236,04:01.2,241.2,47,00:01.6,1.567,Static,Long Shot,-1
